review_id,user_id,business_id,rating,date
FsS5TUFPI8QJEE60-HR3dw,bWh4k_cCuVt5GLVd33xIxg,tulUhFYMvBkYHsjmn30A9w,2,2013-11-19
7xGHiLP1vAaGmX6srC_XXw,nQ4e81UdfczimYcIUtO3HA,tulUhFYMvBkYHsjmn30A9w,4,2014-12-18
OZvrgp4vWBsYqIt3-YMSEw,BjtJ3VkMOxV2Lan037AFuw,tulUhFYMvBkYHsjmn30A9w,3,2014-10-06
R6wkvCo8OtSQetFyhTYGsA,t8gR8NCD56bF1XcAjwgkEw,tulUhFYMvBkYHsjmn30A9w,3,2015-05-04
C_9CV4C722vQ_Atd9_LDRQ,igcnVpgAYC2EMP0sXZmuTQ,tulUhFYMvBkYHsjmn30A9w,5,2011-01-31
RYHKUSUyPeaU38RytDtZww,kEEx6yEf81i9Wk5Ww1q6GA,tulUhFYMvBkYHsjmn30A9w,2,2013-02-02
tBtVsv9M__Zl4xqQ7xN9AQ,3AC_liBwORA9w18CIrGxcQ,tulUhFYMvBkYHsjmn30A9w,4,2015-04-16
91fnUQiklT741ypgwrNw-w,FDFJk0feR-RAGHkxRr_3Nw,tulUhFYMvBkYHsjmn30A9w,3,2011-10-07
gClPOdeAxVdcJByX5W5ojw,C1TC9xbL-rbN8UspYPgXZw,tulUhFYMvBkYHsjmn30A9w,4,2013-11-16
EM1aHX7DsSAKDoqYOocyTw,jHX2qMpRIg-W32vJgi50lw,tulUhFYMvBkYHsjmn30A9w,4,2011-12-09
VzP7FDWc9YwWihxR59rDpQ,VOUnXOlll52vwQcJK1tm8A,tulUhFYMvBkYHsjmn30A9w,4,2011-08-18
ZUysgXDo-0nv4ZAl2CE4WA,GefiDYsb2U_-3ujGnheSpQ,tulUhFYMvBkYHsjmn30A9w,4,2014-01-13
hEeajeUzkW2wABDE4SXF2A,79Vv70bMS1JC9ASCg4dWqg,tulUhFYMvBkYHsjmn30A9w,3,2015-07-31
jjj5tomYOQt1ZBVE67eOTA,SaSXRzjHx3SMTNnW90PetA,tulUhFYMvBkYHsjmn30A9w,4,2013-09-15
CR4r0GkyYxK5FP7EaFEOgg,G5reVMkdwUc-souSaLdm_Q,tulUhFYMvBkYHsjmn30A9w,2,2011-04-15
DM0Y5vKoIH8myhsm6tnvJg,RSAHZjr2yPZHZ-HhrgCrXQ,tulUhFYMvBkYHsjmn30A9w,3,2011-01-18
IZpHJ73Ai6daF7VJTBfWqw,I1Jhth-yxtz4mty6C2sWqg,tulUhFYMvBkYHsjmn30A9w,5,2012-01-10
gX5hhgPQlmS6hfEICV_jug,_YkzpKm4TAUfx8vckSTDgA,tulUhFYMvBkYHsjmn30A9w,4,2012-12-17
PUkpeN3cZBzEBg0LZEN_BQ,GBo2RbrSn9vdOrlQV8N8Sw,tulUhFYMvBkYHsjmn30A9w,2,2016-02-28
OrP2zt67MSMWpaIkjA1y2A,OKe55-f2tvTWDDPHV5cZtA,tulUhFYMvBkYHsjmn30A9w,5,2016-09-20
zMuK1UEb79fgPFJFsBI9NQ,JdYkvy8lIodJ0vwJ4jzYYA,tulUhFYMvBkYHsjmn30A9w,1,2016-05-04
p-27femPsz2zvenUsCXh8A,DK57YibC5ShBmqQl97CKog,tulUhFYMvBkYHsjmn30A9w,3,2009-03-28
8Mg5n8kUeCofQFa37EmNiw,IpReaQYuXO_nB07xnkHuNw,tulUhFYMvBkYHsjmn30A9w,4,2011-10-11
VwuwD_UMM4oNF98URBQKrQ,tb7q_TIKu_pha2UFyneMmA,82aapoEF7sBcxrrP9AWiEw,5,2016-10-27
I5Z_P4SftkiI3YEpauiI8g,5ZrFDFPJe8Qq3Zgue315oA,82aapoEF7sBcxrrP9AWiEw,4,2017-04-02
DafT7bpKy17ZDVAMEaxuYQ,EEI1wjfuZIFshDl1ue9N8w,82aapoEF7sBcxrrP9AWiEw,4,2017-06-18
jEJ51P_kl0tAQeHv6vJ0xw,TjXqTqYOXAs8VKo_otj3lw,82aapoEF7sBcxrrP9AWiEw,4,2016-09-27
e6nYTVFvKUpu5DHM9iFkOw,w1CYD3yWvajHzAbyNEjKuQ,82aapoEF7sBcxrrP9AWiEw,1,2017-01-22
TlqanzBRxIDcTVD1R7cSJw,LBcuPALypeSiLalEZa5JbA,82aapoEF7sBcxrrP9AWiEw,3,2016-08-29
_xE_ahMSmcELTNHq61CyrA,J2ypbaPCF34BJ9IY7W0PLA,82aapoEF7sBcxrrP9AWiEw,5,2016-08-03
